DWGTITLE,HULL,CABLENO,LOCATION,DWG,REV,MF,SHT,CBLSHTZN,WCL,REMARKS,SubId
S/A 347W OPR CHAIN FIBER OPTIC,CVN113,CM 11-726 M,10-23-5N,458938,G,N/A,7,144A,7036546,Cross-group system-worthy approach,133
S/A 485U RNSO CLASS A CAT 5,CVN76,FD 17-859 H,10-58-8X,399377,J,N/A,3,242A,7202426,Customer-focused dedicated firmware,167
S/A 493U BBNY BOX ELECTRIC CABLE,CG85,JG 1-717 K,5-34-0B,692888,B,N/A,9,296U,7238095,Cross-platform 24hour initiative,142
S/A 584T LBHW FRAME COAXIAL CABLE,CVN61,RG 2-734 Q,7-52-4T,684793,Y,N/A,2,242L,7013482,Right-sized interactive access,124
S/A 599V LBHW UNIT CAT 4,CG86,BX 10-278 V,9-50-2K,774565,X,N/A,8,148E,7779680,Fundamental contextually-based middleware,168
S/A 521Z LBHW CLASS A CAT 4,CG112,TH 6-593 A,1-30-9P,768836,N,N/A,2,111Y,7035545,Streamlined 5thgeneration collaboration,185
S/A 256F KLD CLASS C CAT 4,CG72,VF 3-641 J,8-39-2F,408776,R,N/A,1,221A,7078834,Grass-roots asymmetric budgetary management,143
S/A 337R KLD UNIT CAT 4,CG58,VQ 11-943 K,4-48-6S,382902,A,N/A,7,275K,7678260,Proactive static core,135
S/A 365B TXG CHAIN FIBER OPTIC,CG72,VF 2-551 D,3-39-6W,528305,N,N/A,7,148Y,7232429,Universal fresh-thinking benchmark,185
S/A 384Z ANR BOX CAT 5,CVN112,OW 8-181 R,10-32-9F,788460,Z,N/A,4,196O,7946340,Customizable asynchronous solution,155
S/A 419H ANR UNIT ELECTRIC CABLE,DDG101,IX 11-309 X,8-48-10T,605677,N,N/A,1,267Y,7933376,Vision-oriented reciprocal emulation,121
S/A 477Z OPR DEVICE COAXIAL CABLE,CG58,SE 8-783 I,9-32-8M,708867,C,N/A,1,240V,7154935,Exclusive intangible approach,174
S/A 561F OPR CLASS C CAT 6,CVN99,CT 6-765 C,2-26-4X,435709,C,N/A,6,167M,7706476,Open-architected contextually-based adapter,102
S/A 400A BBNY CLASS A CAT 4,CG92,TJ 1-311 A,4-45-4V,470124,O,N/A,9,212X,7220928,Balanced intermediate implementation,101
S/A 265E RNSO BOX ELECTRIC CABLE,DDG54,PS 3-338 L,2-45-7E,393963,O,N/A,2,107E,7229913,Grass-roots clear-thinking toolset,111
S/A 518E TXG BOX CAT 5,DDG91,OQ 2-431 Z,4-55-8L,808894,Z,N/A,3,251S,7187634,Business-focused upward-trending implementation,106
S/A 379Z RNSO CLASS C CAT 5,CVN84,UN 7-262 G,2-43-1J,738289,O,N/A,4,135U,7346731,Business-focused incremental standardization,171
S/A 393S BBNY UNIT CAT 5,CG88,OP 15-461 U,8-58-7B,834665,Y,N/A,6,187Y,7407879,Face-to-face coherent knowledgebase,180
S/A 262S TXG DEVICE FIBER OPTIC,DDG79,CY 8-864 I,4-29-8V,839643,Q,N/A,8,226F,7429456,Reduced cohesive challenge,117
S/A 391T RNSO DEVICE CAT 4,CVN94,PB 8-707 L,8-51-9M,385426,E,N/A,9,125C,7818361,Team-oriented stable algorithm,117
S/A 523S TXG UNIT CAT 6,CG94,JH 17-951 K,1-28-5M,663539,W,N/A,4,192B,7902246,Realigned dedicated capability,126
S/A 580P ANR UNIT CAT 4,DDG91,ZW 14-633 L,6-46-6K,530915,S,N/A,3,286Y,7025673,Front-line context-sensitive instruction set,114
S/A 547V OPR CLASS B CAT 5,CVN99,AV 17-234 F,4-43-6M,488297,K,N/A,4,290B,7053129,Object-based exuding approach,107
S/A 465Y LBHW CLASS B CAT 5,CG73,DP 14-216 N,0-36-5Y,726039,A,N/A,9,113K,7515810,Open-source actuating analyzer,135
S/A 437K TXG UNIT CAT 6,CG119,AE 15-270 B,4-56-8Y,435845,I,N/A,4,124S,7506499,Monitored executive groupware,166
S/A 412K ANR BOX ELECTRIC CABLE,DDG96,EF 5-280 B,3-52-10N,735659,K,N/A,4,185Z,7382302,Robust analyzing algorithm,103
S/A 445B LBHW CHAIN FIBER OPTIC,DDG79,ED 19-606 K,6-41-2G,783940,R,N/A,6,264H,7243712,Visionary heuristic matrices,190
S/A 298W ANR CLASS B FIBER OPTIC,DDG119,MY 6-185 L,2-57-4M,457927,F,N/A,2,171L,7772141,Right-sized dedicated project,146
S/A 354N OPR FRAME COAXIAL CABLE,CG94,NZ 8-868 R,8-31-0S,399931,U,N/A,6,106V,7174375,Exclusive context-sensitive instruction set,108
S/A 516I LBHW CLASS C CAT 6,DDG60,JY 1-650 K,8-59-2F,648198,O,N/A,8,257E,7879941,Reactive bi-directional throughput,109
S/A 260Q RNSO DEVICE COAXIAL CABLE,DDG79,SB 10-599 T,6-54-9G,438518,J,N/A,9,278W,7417425,Optimized context-sensitive time-frame,103
S/A 305J BBNY CHAIN CAT 5,DDG107,NM 3-768 W,0-43-5M,406454,E,N/A,8,104I,7305087,Seamless tertiary data-warehouse,159
S/A 503T KLD FRAME COAXIAL CABLE,CVN112,PW 6-611 C,1-53-8D,582302,X,N/A,3,130U,7510910,Reverse-engineered fresh-thinking concept,191
S/A 365J ANR CLASS C CAT 6,CVN119,MP 1-575 K,5-26-5U,814947,Z,N/A,9,100Z,7137048,Synchronized empowering migration,135
S/A 515U LBHW UNIT CAT 6,CVN116,AA 13-493 X,2-48-8K,710887,I,N/A,4,158F,7058474,Operative executive challenge,112
S/A 354G TXG CLASS C CAT 4,CVN52,AA 5-260 R,0-44-10R,597945,A,N/A,8,114R,7318783,Managed system-worthy analyzer,150
S/A 428I KLD CHAIN COAXIAL CABLE,DDG67,AY 13-378 C,3-40-4R,696483,J,N/A,9,151A,7268459,Face-to-face directional alliance,137
S/A 410P OPR CLASS A CAT 5,CVN105,RR 12-410 X,10-42-5Q,439714,C,N/A,3,127X,7997509,Versatile systemic budgetary management,186
S/A 472Q LBHW DEVICE CAT 6,CG59,NU 13-276 G,9-33-10M,653159,B,N/A,3,177O,7000205,Sharable optimizing hierarchy,158
S/A 473Z OPR BOX CAT 6,CVN55,VS 9-739 V,4-21-7R,533864,Y,N/A,2,235X,7711171,Mandatory human-resource extranet,137
S/A 385D ANR CLASS C FIBER OPTIC,CG106,KH 2-853 F,2-21-2O,753530,S,N/A,5,109P,7973727,Progressive zero-defect strategy,171
S/A 553X LBHW BOX ELECTRIC CABLE,CVN106,LI 9-699 J,2-22-8J,558242,K,N/A,2,167D,7941792,Decentralized maximized migration,189
S/A 590G KLD FRAME CAT 6,DDG91,HW 16-800 E,1-44-5H,582418,Y,N/A,2,166Z,7157858,Optional dynamic support,107
S/A 597L ANR CLASS C CAT 5,CVN118,LC 9-738 D,5-50-4R,703369,U,N/A,4,287H,7726051,Re-contextualized motivating info-mediaries,131
S/A 341B ANR CLASS C COAXIAL CABLE,CVN70,CC 7-220 O,2-36-9D,755620,C,N/A,9,182Z,7142711,Phased fault-tolerant installation,122
S/A 513Z LBHW CLASS B CAT 4,CG53,ZJ 13-808 C,9-24-6I,493701,E,N/A,4,134Q,7710384,Customer-focused zero administration artificial intelligence,175
S/A 546M LBHW FRAME ELECTRIC CABLE,CG91,SE 10-644 B,3-43-2M,644177,W,N/A,3,282D,7704002,Cross-platform global utilization,136
S/A 347H BBNY CLASS C ELECTRIC CABLE,CG61,KR 15-834 O,10-59-1N,640059,I,N/A,5,139X,7195995,Robust upward-trending attitude,143
S/A 430N LBHW CHAIN COAXIAL CABLE,CG118,TT 11-222 G,9-49-3I,599061,E,N/A,2,298O,7411502,Monitored responsive Graphic Interface,186
S/A 579N RNSO CLASS C COAXIAL CABLE,CVN107,WI 7-886 W,10-45-5Q,764325,C,N/A,9,272N,7958709,Decentralized even-keeled analyzer,199
S/A 450U OPR CLASS C CAT 5,CG82,BP 4-307 Y,2-40-10G,690154,V,N/A,4,172F,7306236,Public-key methodical capacity,174
S/A 356E RNSO CLASS C CAT 6,DDG87,OV 17-229 N,8-42-3D,816807,F,N/A,3,283S,7074900,Fully-configurable dedicated interface,185
S/A 391M OPR CLASS C CAT 5,CG62,GD 12-787 W,8-31-8U,840788,D,N/A,7,294R,7861927,User-friendly disintermediate leverage,186
S/A 463T TXG CLASS C FIBER OPTIC,CVN69,RM 8-305 W,0-48-4I,527069,O,N/A,1,104T,7804012,Centralized mobile knowledge user,157
S/A 441W TXG CLASS A ELECTRIC CABLE,CG63,VF 5-806 R,6-47-9J,426851,D,N/A,6,186E,7968546,Horizontal demand-driven core,173
S/A 280T RNSO FRAME COAXIAL CABLE,CVN103,CU 15-984 Z,6-26-5K,651888,O,N/A,9,262F,7798666,Digitized hybrid archive,103
S/A 323K OPR DEVICE ELECTRIC CABLE,DDG69,FG 17-323 D,5-54-3I,757548,O,N/A,9,286H,7156299,Synchronized optimizing application,149
S/A 396M ANR BOX ELECTRIC CABLE,DDG71,VB 14-744 G,8-40-5O,569623,U,N/A,5,259Y,7592977,Phased holistic collaboration,189
S/A 358W ANR FRAME CAT 5,DDG100,YV 15-135 U,5-37-8R,807315,Y,N/A,3,128O,7243584,Quality-focused dedicated info-mediaries,167
S/A 369E OPR FRAME FIBER OPTIC,DDG116,MF 8-281 R,4-52-2U,563900,Z,N/A,9,205L,7796449,Self-enabling 24hour encoding,173
S/A 590B OPR DEVICE COAXIAL CABLE,CG90,BP 1-702 H,9-21-0X,628005,T,N/A,6,158A,7932046,Object-based empowering contingency,108
S/A 346U BBNY UNIT CAT 4,CVN87,FU 13-914 X,8-32-1Z,538664,L,N/A,4,249B,7016418,Progressive methodical benchmark,113
S/A 381Z BBNY CLASS B CAT 5,CG55,EZ 2-120 M,10-22-8H,847214,I,N/A,4,249R,7898918,Down-sized reciprocal superstructure,120
S/A 455L TXG FRAME COAXIAL CABLE,DDG117,YE 18-604 R,1-50-0J,360257,Z,N/A,3,218C,7917152,Extended 24/7 archive,133
S/A 577C TXG CLASS B FIBER OPTIC,DDG109,HO 18-353 K,0-28-8W,507012,N,N/A,8,237G,7064260,Grass-roots transitional application,159
S/A 330J BBNY CLASS C CAT 6,CG61,LE 2-829 A,5-56-3W,582561,C,N/A,8,295B,7954008,Persistent motivating architecture,185
S/A 465X KLD BOX ELECTRIC CABLE,DDG67,AJ 3-270 U,5-34-6A,820446,B,N/A,3,263G,7470191,Reverse-engineered multi-state alliance,148
