Manufacture,Rev,Buships,Manufacturer,Reel,Frame,DrawingTitle,SubId
BY 5-548 X,6,329325,Lockheed Martin,37077,K 29,SAFETY HOIST UNIT TWO TON,121
TR 8-761 L,6,102425,PepsiCo,36939,D 10,ELECTRICAL BEARING CLASS A WHEEL,196
GI 8-121 C,4,276250,Lockheed Martin,34213,P 40,MECHANICAL BRAKE FRAME TWO TON,171
KI 4-870 J,4,109953,Lockheed Martin,32987,J 20,MAGNETIC SPACER BOX ONE TON,110
JR 11-568 W,10,121759,Microsoft,36520,I 75,SAFETY HOIST FRAME TWO TON,163
ZX 14-759 O,1,281315,Microsoft,33468,K 69,ROTARY NUT CLASS C ASSEMBLY,117
US 2-847 Y,2,230059,GE Appliances,36681,U 22,SAFETY SPACER BOX TWO TON,141
LR 15-655 T,10,164451,GlobalFoundries,34832,N 40,TURBO RATCHET CLASS B WHEEL,129
KA 5-676 P,8,371718,Lockheed Martin,36439,Y 50,ELECTRICAL RETAINER UNIT ASSEMBLY,183
UF 4-807 E,10,239189,GE Appliances,37320,K 47,AXIAL BRAKE CHAIN DRIVE,148
BZ 10-672 I,10,289834,GE Appliances,34531,B 29,AXIAL ROLLER UNIT DRIVE,100
IM 7-994 N,10,123758,PepsiCo,35955,N 41,SAFETY BRAKE CLASS C ASSEMBLY,103
UU 17-929 A,5,344748,GE Appliances,37172,S 81,ELECTRICAL SPACER FRAME TWO TON,190
QK 11-373 M,6,375330,Intel Corp,34891,V 49,ROTARY HOOK FRAME ONE TON,184
XN 17-673 T,6,223871,Boeing,33426,C 38,MECHANICAL BRAKE UNIT DRIVE,152
BS 3-512 J,4,396559,PepsiCo,33093,L 64,MECHANICAL BEARING FRAME DRIVE,144
CG 12-396 G,1,325658,Microsoft,37701,Y 18,MAGNETIC HOIST CHAIN CHART,102
JV 18-823 M,2,384752,PepsiCo,34084,T 13,MECHANICAL BEARING CLASS C ASSEMBLY,123
MZ 3-836 X,9,259034,TPI Composites,36309,D 24,ELECTRICAL RATCHET UNIT ONE TON,103
LE 1-669 D,10,309743,GE Appliances,36425,T 6,MAGNETIC HOIST CLASS C ASSEMBLY,170
DQ 8-452 Z,1,215875,General Electric,35680,I 89,ROTARY HOOK CLASS B ASSEMBLY,160
SI 1-588 C,7,280514,Boeing,33020,D 69,ELECTRICAL SPACER FRAME WHEEL,148
JP 7-213 V,2,132440,Boeing,36107,J 67,SAFETY RATCHET CLASS A ASSEMBLY,127
ZT 2-773 X,4,225356,Lockheed Martin,37132,Y 57,TURBO RETAINER CLASS A WHEEL,186
IA 13-731 Q,6,127715,Microsoft,37764,M 55,ELECTRICAL RETAINER CLASS A CHART,153
UG 17-585 D,10,245681,Lockheed Martin,32191,I 46,MECHANICAL BRAKE CLASS A ASSEMBLY,138
PU 7-761 X,9,125280,GE Appliances,34345,D 9,ROTARY BEARING FRAME ASSEMBLY,114
IT 6-320 M,1,282282,Lockheed Martin,36739,H 39,AXIAL RETAINER UNIT WHEEL,113
YM 8-242 B,9,186823,General Electric,32335,J 18,MECHANICAL SPACER CLASS C CHART,130
IB 12-855 V,10,152609,GlobalFoundries,32042,J 56,ELECTRICAL RATCHET DEVICE ASSEMBLY,141
MW 16-992 L,2,243561,Microsoft,35668,H 26,MECHANICAL NUT FRAME WHEEL,135
DR 16-628 D,7,241261,General Electric,35149,G 33,TURBO ROLLER BOX CHART,176
ZO 7-574 S,4,226644,GE Appliances,35244,J 87,AXIAL RETAINER BOX ASSEMBLY,111
VV 13-700 P,8,349224,Lockheed Martin,35881,S 50,ROTARY HOIST UNIT WHEEL,146
PI 19-822 Y,8,246344,PepsiCo,35146,O 39,ROTARY PIN BOX CHART,152
MQ 15-377 N,10,187534,PepsiCo,33036,G 32,SAFETY RETAINER CHAIN ASSEMBLY,142
UJ 13-963 W,7,192630,Microsoft,34933,L 95,SAFETY HOIST CLASS A ASSEMBLY,121
JF 1-160 L,3,277859,Microsoft,37833,D 47,ROTARY RETAINER CLASS B CHART,179
PP 9-642 C,8,109298,TPI Composites,37073,T 86,MECHANICAL PIN DEVICE ASSEMBLY,103
VQ 18-630 C,4,274777,GE Appliances,34388,W 37,MAGNETIC SPACER BOX DRIVE,163
ZB 16-439 D,6,208476,Johnson & Johnson,35893,F 92,MECHANICAL HOIST UNIT ASSEMBLY,124
XA 7-690 D,5,251954,GlobalFoundries,35649,H 51,ELECTRICAL ROLLER FRAME WHEEL,169
FE 9-631 E,9,397641,GlobalFoundries,37581,H 59,ROTARY HOIST UNIT DRIVE,108
CZ 5-884 D,2,280133,Lockheed Martin,33479,L 75,MAGNETIC NUT CLASS C CHART,143
LN 6-995 E,4,223128,TPI Composites,33819,O 60,MECHANICAL SPACER FRAME ASSEMBLY,170
